review_text,sentiment
Julian and Kennedy make you believe in possible forever and love and dreams. An exceptional story of two people from different spectrums in life meeting just once and the domino effect thereafter. If it is meant to BE then it shall BE. Amen.,positive
The net did not last even one week before ripping. A complete waste of money. The worst product!,negative
I love nylabone products they are the number one choice in our fur filled home these are best for teething puppies ( only while supervised ) or possibly small dogs that are not aggressive chewers even with small dogs you really need to keep a close watch to see if pieces start to break off .Vets recommend soft chew toys for dogs because the harder ones can chip their teeth however caution should be used about choking and digesting rubbery pieces on soft toys like this one when Mia was a puppy this chew was perfect . I had bought this one as a gift for a 8 week old GSD and she also loved it .,neutral
Another piece of garbage. The tip of the scissor doesn't close and it is not sharp enough. Don't waste the money.,negative
"I ordered 50, but only received a case of 25.",negative
pretty cool quality for that price,neutral
"A key on my laptop keyboard was no longer functional and after trying (and failing) to get it to work, I decided to get a wireless keyboard to use with it while at my desk. Of course, not a long term solution but a necessary and immediate one. This keyboard is great. It connects very quickly to my computer, stays charged for days of full use, and is small, lightweight, but also the size of a standard keyboard for a 15"" laptop. It seems well made, is reasonably stylish, and holds up to me transporting it to and from my office daily. For the price, you can't beat this keyboard!",positive
"Comfortable, but after only having them for 5 months, the padding and rubber has worn and broken down much faster than any combat boot new, and used that I've ever owned. The style is there, but the quality is lacking.",neutral
"Love the bag, very cute! Not as much room as I expected inside but it’s pretty good for laptop bag!",positive
I did not care for it. Did not look good on me. short in the body.,neutral
Does not work. Not able to change combination.,negative
"The chalk is chalk, looks like it will match or blend in well with my black table. The main reason I gave it only three stars was because whoever packed this missed the class on packing chalk so it doesn't roll around the freaking box. It looks rough to me on a few pieces but I will live! I did at least get the original box and not a freezer bag...lmao! Will see how it plays later tonight while retaking my crown from my son!",neutral
"Sticks to window great. Looks good. Now, if I can only find a cap with that logo ... anyone???",positive
Battery has been installed 1 week and cycles as the instructions have indicated. Battery is no better that the 3 year old battery that was removed. Phone usually dies half way through the day.,negative
So cute! Pay attention to the sizing chart. My dog usually wears a S but had to get her a M in this.,positive
Love this helps you fall asleep naturally and not feel groggy at all. Just one tip it takes two hours to kick in so take it early. This is way better than chamomile tea you don’t have to worry about getting up in the middle of the night to run to the bathroom...I’m sure you call all relate 😁,positive
"This camera is perfect for our 5 year old daughter. It's easy to use, and has a lot of fun features. Great item for a great price.",positive
This is one of the most beautiful dresses I have ever worn it is perfect it is just like the picture actually it's even better. The material is soft and beautiful slightly stretchy so it's comfortable and fits my body just right the only thing I dislike is that the shoulders are two wide but luckily I can tuck them under and it looks great,positive
Worked good for 19 months then died fan still works.,neutral
Received my package with 2 packets already open and spilled everywhere. Very disappointed.,neutral
The NOW brand has been a favorite of mine for a very long time for vitamins and other supplements because of their high quality. Their essential oil is no disappointment!! Excellent essential oil!,positive
Amazing!! I couldn’t put this one down. I love it!! True love is amazing and this story really touched my heart!!,positive
This is the worst blanket I have ever bought. I has snags everywhere and is very cheap. Very dissapointed!!!!!,negative
It is a great cable. Will the cable have issues? Only time and use will tell. Works great and feels like quality.,positive
Said 2 pack only got 1,negative
This product is the worst product ever. You can’t fold it to fit in your car and plus it very heavy and large to go through doors.,negative
Measurements are way off. I’d say if you decide to buy go up 1 size at least.,neutral
I love this cover but as soon as we opened it there was damage looked as if it had been caught in a printing machine possibly and snagged and messed up the color. I do wish they would have inspected the item before sending it that way they could have just sent one that was not damaged. Other then that I really do like the duvet cover I will however hang dry it when I wash it to be safe.,neutral
I did have a 5 but after 3 months the tie straps broke. It was Not abused.,neutral
I do not like the two capsules size or taste but I hope that they will show results within 30 days.,neutral
"Our family loves outdoor activities, especially hiking and camping. This product came in handy as it takes just a little space and is securely held in a little bag. I also liked the fact that the knife folds in, so that the blade doesn’t stick out. For its price it’s a must buy product for campers!",positive
"Cheap material, so it breaks easily. My students had fun with it while it lasted.",neutral
I ordered larger than I wear and it was too small quality of materials looked good but I wasn't able to wear them unfortunately,neutral
