review_id,date,brand,source,text,sentiment
EVVN-00001,2021-09-07,Kia,Facebook,Mình mới sử dụng vài tuần nên chưa có kết luận cuối cùng.,neutral
EVVN-00002,2021-09-07,VinFast,Review site,"Dịch vụ tại đại lý nhiệt tình, tư vấn khá rõ ràng.",positive
EVVN-00003,2021-09-07,VinFast,YouTube,"Cá nhân mình thấy thiết kế đẹp, nội thất hiện đại và nhiều công nghệ, so với các mẫu xe mình từng trải nghiệm.",positive
EVVN-00004,2021-09-07,BYD,Review site,Trải nghiệm thực tế chưa tốt như những bài quảng cáo mình xem.,negative
EVVN-00005,2021-09-07,Tesla,Facebook,"Thiết kế đẹp, nội thất hiện đại và nhiều công nghệ.",positive
EVVN-00006,2021-09-07,BYD,Forum,Phần mềm đôi lúc bị chậm và có vài lỗi nhỏ.,negative
EVVN-00007,2021-09-07,VinFast,Facebook,"Mình rất hài lòng với khả năng vận hành của xe, trong nhu cầu đi lại hàng ngày.",positive
EVVN-00009,2021-09-08,BYD,Forum,"Sau khi dùng xe một thời gian, xe phù hợp đi phố, còn đường dài thì mình chưa có nhiều trải nghiệm.",neutral
EVVN-00010,2021-09-09,BYD,YouTube,"Theo trải nghiệm của mình, chi phí sử dụng hàng ngày khá tiết kiệm so với xe xăng.",positive
EVVN-00011,2021-09-09,BYD,Facebook,Hệ thống hỗ trợ lái hoạt động tốt và dễ sử dụng.,positive
EVVN-00012,2021-09-09,Tesla,Forum,Mức giảm giá sau khi mua khiến mình cảm thấy hơi tiếc.,negative
EVVN-00013,2021-09-10,Kia,Facebook,"Xe chạy êm, tăng tốc tốt và cảm giác lái khá ổn.",positive
EVVN-00014,2021-09-10,Tesla,Forum,"Ở góc độ người dùng, thiết kế đẹp, nội thất hiện đại và nhiều công nghệ.",positive
EVVN-00015,2021-09-10,MG,YouTube,Khoang hành lý hơi nhỏ so với nhu cầu gia đình.,negative
EVVN-00016,2021-09-10,Tesla,Facebook,"Mình thấy xe có ưu và nhược điểm riêng, chưa nghiêng hẳn về bên nào, trong nhu cầu đi lại hàng ngày.",neutral
EVVN-00017,2021-09-10,MG,Facebook,"Qua lần lái thử, xe chạy êm, tăng tốc tốt và cảm giác lái khá ổn, trong nhu cầu đi lại hàng ngày.",positive
EVVN-00018,2021-09-10,VinFast,YouTube,Dịch vụ sau bán hàng chưa đồng đều giữa các đại lý.,negative
EVVN-00019,2021-09-11,Kia,Review site,"Sau chuyến đi gần đây, mạng lưới trạm sạc ở khu vực mình sống chưa thật sự thuận tiện.",negative
EVVN-00020,2021-09-11,MG,Facebook,"Sau chuyến đi gần đây, chi phí sử dụng hàng ngày khá tiết kiệm so với xe xăng, so với các mẫu xe mình từng trải nghiệm.",positive
EVVN-00021,2021-09-11,VinFast,Forum,Cá nhân mình thấy giá xe vẫn khá cao so với khả năng tài chính của mình.,negative
EVVN-00022,2021-09-11,BYD,Review site,"Dịch vụ đại lý khá bình thường, chưa có điểm gì đặc biệt.",neutral
EVVN-00023,2021-09-11,VinFast,Review site,Chi phí sử dụng hàng ngày khá tiết kiệm so với xe xăng.,positive
EVVN-00024,2021-09-11,Wuling,Facebook,Tính năng khá nhiều nhưng mình chưa dùng hết.,neutral
EVVN-00025,2021-09-12,VinFast,Facebook,"Ở góc độ người dùng, mình rất hài lòng với khả năng vận hành của xe, nếu chủ yếu đi trong thành phố.",positive
EVVN-00026,2021-09-12,MG,Forum,"Theo trải nghiệm của mình, thời gian sạc vẫn hơi lâu nếu cần đi đường dài.",negative
EVVN-00027,2021-09-12,BYD,Review site,Thời gian sạc vẫn hơi lâu nếu cần đi đường dài.,negative
EVVN-00028,2021-09-12,Hyundai,Review site,Cá nhân mình thấy mình đang so sánh mẫu xe này với một vài lựa chọn khác.,neutral
