review_id,date,brand,source,text,sentiment
EVVN-01530,2023-02-24,BYD,Forum,"Cảm nhận về chiếc BYD: xe lướt đi êm ru, người nhà ngồi sau trước đây hay say xe giờ đi thoải mái cả hành trình. Màn hình xoay 15.6 inch sắc nét và độ phản hồi cảm ứng rất nhanh. Nói chung quyết định chuyển sang xe điện là hoàn toàn sáng suốt.",positive
EVVN-01531,2023-02-25,Wuling,Facebook,"Dùng được vài tuần bắt đầu thấy nhiều điểm bất tiện, khoang xe chật chội, chở đủ 4 người lớn thì gầm xệ và máy khá ì. Điểm trừ nữa là giảm xóc sau khá cứng đi qua gờ giảm tốc nảy tưng tưng. Khuyên thật lòng ai ở chung cư hoặc muốn đi xa thì tuyệt đối không nên mua. Mình chia sẻ lên nhóm để anh em cùng thảo luận.",negative
EVVN-01532,2023-02-25,BYD,Review site,"Đối với chiếc BYD, điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng. Dẫu vậy, phần mềm thỉnh thoảng vẫn dính lỗi vặt linh tinh và cần khởi động lại; nhìn chung chất lượng hoàn thiện tốt trong tầm giá xe nhập khẩu.",neutral
EVVN-01533,2023-02-25,Wuling,YouTube,"Mua xe cho vợ đi làm hàng ngày, chở 2 mẹ con che nắng mưa mùa đông hè rất tiện, hơn nữa tiền điện sạc tại nhà mỗi tháng chỉ tầm 200 đến 300 nghìn, rẻ ngang xe máy số. Rất ưng ý với số tiền bỏ ra, phù hợp nhu cầu gia đình nhỏ.",positive
EVVN-01534,2023-02-25,BYD,Review site,"Sau 15.000 km lăn bánh, xe lướt đi êm ru, người nhà ngồi sau trước đây hay say xe giờ đi thoải mái cả hành trình, đồng thời chi phí sạc điện mỗi tháng chưa tới 800 nghìn, tiết kiệm hơn 70% so với tiền xăng trước kia. Một trải nghiệm nâng cấp chất lượng sống cho cả gia đình.",positive
EVVN-01535,2023-02-26,VinFast,Forum,"Lên đây cảnh báo cho anh em đang có ý định mua, trải nghiệm thực sự tệ khi giảm xóc sau quá cứng, đi qua gờ giảm tốc người ngồi hàng hai nảy tưng tưng rất ê mông. Đáng nói nhất là phần mềm thỉnh thoảng báo lỗi ảo rùa vàng phải tắt máy chờ một lúc mới khởi động lại được. Quá mệt mỏi vì suốt ngày phải lo nghĩ chuyện sạc pin và lỗi phần mềm.",negative
EVVN-01536,2023-02-26,BYD,Facebook,"Sau thời gian trải nghiệm BYD: điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng, bù lại độ hoàn thiện dàn nhựa nội thất và các chi tiết cơ khí vẫn cần hãng trau chuốt thêm. Nhìn chung là sản phẩm dùng được nhưng chưa thực sự hoàn hảo.",neutral
EVVN-01537,2023-02-26,VinFast,Review site,"Sau thời gian trải nghiệm VinFast: vận hành trong đô thị rất nhàn nhã, máy êm, chi phí nuôi xe tiết kiệm thấy rõ, bù lại độ hoàn thiện dàn nhựa nội thất và các chi tiết cơ khí vẫn cần hãng trau chuốt thêm. Xe có ưu nhược điểm riêng, ai chấp nhận được điểm trừ thì dùng rất ổn.",neutral
EVVN-01538,2023-02-26,VinFast,Dealer,"Đối với chiếc VinFast, điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng. Dẫu vậy, trần kính mùa hè khá nóng nếu không dán thêm phim cách nhiệt xịn và lắp rèm che; nhìn chung lợi thế hệ thống trạm sạc VinFast tại Việt Nam áp đảo hoàn toàn so với mọi đối thủ.",neutral
EVVN-01539,2023-02-26,VinFast,Dealer,"Thật sự ngán ngẩm với chất lượng hoàn thiện, dịp lễ cao điểm trạm sạc nào cũng quá tải, xếp hàng dài chờ hơn 1 tiếng rưỡi mới đến lượt cắm sạc. Thất vọng hơn là chất liệu nhựa nội thất ọp ẹp, đi vào đường xấu phát ra tiếng kêu cọt kẹt rất khó chịu. Mong hãng nghiêm túc lắng nghe phản ánh và sớm có phương án xử lý dứt điểm.",negative
EVVN-01540,2023-02-27,MG,Forum,"Đi phố mỗi ngày vào giờ cao điểm mới thấy, xe lướt đi êm ru, người nhà ngồi sau trước đây hay say xe giờ đi thoải mái cả hành trình, đồng thời tiền sạc rẻ giật mình, mỗi km tính ra chỉ tốn tầm 400 đến 500 đồng. Thực sự vượt ngoài mong đợi ban đầu của mình.",positive
EVVN-01541,2023-02-27,Kia,Facebook,"Sau 15.000 km lăn bánh, thích nhất tính năng bật điều hòa từ xa trước khi lên xe, mùa hè vào xe mát rượi ngay, song song với đó chi phí sạc điện mỗi tháng chưa tới 800 nghìn, tiết kiệm hơn 70% so với tiền xăng trước kia. Đi rồi mới thấy công nghệ xe điện tiện lợi và sướng hơn hẳn. Mình chia sẻ lên nhóm để anh em cùng thảo luận.",positive
EVVN-01542,2023-02-27,BYD,YouTube,"Đánh giá khách quan sau vài nghìn km, điểm cộng lớn nhất là khả năng tăng tốc mượt mà, không mùi khí thải và không gian cabin thoáng đãng, nhưng việc đi xa vẫn cần phải lên kế hoạch lộ trình trạm sạc cẩn thận chứ không tiện như đổ xăng. Nhìn chung là sản phẩm dùng được nhưng chưa thực sự hoàn hảo.",neutral
EVVN-01543,2023-02-27,BYD,YouTube,"Vừa hoàn thành chuyến về quê 500km, xe tăng tốc tức thì, vượt xe trên quốc lộ rất tự tin và an toàn, và chi phí sạc điện mỗi tháng chưa tới 800 nghìn, tiết kiệm hơn 70% so với tiền xăng trước kia. Ai còn phân vân thì nên lái thử một lần, đảm bảo không muốn quay lại xe xăng.",positive
EVVN-01544,2023-02-28,MG,Forum,"Chạy thử nhiều mẫu xe rồi mới chốt em này, buổi trưa nằm nghỉ trong xe bật điều hòa thoải mái mà không sợ ngạt khí CO độc hại, kèm theo đó tiền sạc rẻ giật mình, mỗi km tính ra chỉ tốn tầm 400 đến 500 đồng. Rất đáng tiền trong phân khúc, hài lòng 9/10 điểm.",positive
EVVN-01545,2023-02-28,VinFast,Dealer,"Sau thời gian trải nghiệm VinFast: vận hành trong đô thị rất nhàn nhã, máy êm, chi phí nuôi xe tiết kiệm thấy rõ, bù lại việc đi xa vẫn cần phải lên kế hoạch lộ trình trạm sạc cẩn thận chứ không tiện như đổ xăng. Nhìn chung là sản phẩm dùng được nhưng chưa thực sự hoàn hảo.",neutral
EVVN-01546,2023-03-01,BYD,Forum,"Bức xúc khi dùng BYD: màn hình trung tâm thỉnh thoảng bị đơ đen sì khi đang chạy, camera lùi bị giật lag nghiêm trọng. Ngoài ra nhiều chi tiết đèn viền và cửa gió thiết kế hơi rườm rà sến sẩm. Không thể chấp nhận một sản phẩm giá tiền tỷ mà lỗi vặt nhiều như thế này.",negative
EVVN-01547,2023-03-01,Kia,Forum,"Cảm nhận thật lòng sau 3 tháng sử dụng, điểm cộng là EV6 dáng crossover thể thao bắt mắt và khí động học. Thêm vào đó, hệ thống kiểm soát hành trình thích ứng và hỗ trợ giữ làn lái rất nhàn trên cao tốc. Ai còn phân vân thì nên lái thử một lần, đảm bảo không muốn quay lại xe xăng.",positive
EVVN-01548,2023-03-01,Hyundai,Dealer,"Cảm nhận về chiếc Hyundai: phanh tái sinh chỉnh mức vừa đi rất mượt, đi trong phố đông gần như chỉ cần dùng một bàn đạp. Ioniq 5 thiết kế phong cách Pixel retro tương lai cực kỳ ấn tượng. Thực sự vượt ngoài mong đợi ban đầu của mình.",positive
EVVN-01549,2023-03-01,Tesla,Review site,"Mua xe cho vợ đi làm hàng ngày, điểm cộng là hệ điều hành điều khiển mượt mà như một chiếc máy tính bảng cao cấp. Thêm vào đó, thích nhất tính năng bật điều hòa từ xa trước khi lên xe, mùa hè vào xe mát rượi ngay. Ai còn phân vân thì nên lái thử một lần, đảm bảo không muốn quay lại xe xăng.",positive
EVVN-01550,2023-03-01,BYD,Facebook,"Không tâng bốc cũng không dìm hàng, xe lái chắc chắn và pin an toàn nhưng bài toán sạc phụ thuộc hoàn toàn vào bên thứ ba. Về cơ bản ưu điểm là xe chạy cực kỳ êm ái, bốc ga nhanh và chi phí tiền điện hàng tháng rất rẻ, nhưng việc đi xa vẫn cần phải lên kế hoạch lộ trình trạm sạc cẩn thận chứ không tiện như đổ xăng.",neutral
EVVN-01551,2023-03-01,MG,Facebook,"Chạy thử nhiều mẫu xe rồi mới chốt em này, hệ thống kiểm soát hành trình thích ứng và hỗ trợ giữ làn lái rất nhàn trên cao tốc, song song với đó tính bài toán vận hành lâu dài thì kinh tế hơn hẳn các dòng xe xăng cùng tầm giá. Một trải nghiệm nâng cấp chất lượng sống cho cả gia đình.",positive
EVVN-01552,2023-03-02,Tesla,Review site,"Chia sẻ trải nghiệm không mấy vui vẻ sau 2 tháng, dịp lễ cao điểm trạm sạc nào cũng quá tải, xếp hàng dài chờ hơn 1 tiếng rưỡi mới đến lượt cắm sạc. Thất vọng hơn là quãng đường thực tế hao hụt gần 35% so với công bố khi chạy cao tốc kèm bật điều hòa gió lớn. Đang tính chuyện bán lỗ để quay về xe xăng cho đỡ đau đầu.",negative
EVVN-01553,2023-03-02,Wuling,Review site,"Đánh giá khách quan cho bác nào đang tìm hiểu dòng mini, vận hành đô thị linh hoạt, bán kính quay đầu nhỏ và máy chạy êm, đổi lại trang bị an toàn ở mức tối thiểu và khoang chở đồ rất hạn chế. Tùy vào nhu cầu thực tế và điều kiện chỗ sạc tại nhà của mỗi người.",neutral
EVVN-01554,2023-03-03,VinFast,Facebook,"Nhận xét thực tế sau chuyến đi dài, xe lái đầm chắc, khung gầm dày dặn và nhiều công nghệ an toàn hiện đại, nhưng trần kính mùa hè khá nóng nếu không dán thêm phim cách nhiệt xịn và lắp rèm che. Xe có ưu nhược điểm riêng, ai chấp nhận được điểm trừ thì dùng rất ổn. Mình chia sẻ lên nhóm để anh em cùng thảo luận.",neutral
EVVN-01555,2023-03-03,Hyundai,Dealer,"Cảm nhận về chiếc Hyundai: xe lướt đi êm ru, người nhà ngồi sau trước đây hay say xe giờ đi thoải mái cả hành trình. Ioniq 5 thiết kế phong cách Pixel retro tương lai cực kỳ ấn tượng. Đi rồi mới thấy công nghệ xe điện tiện lợi và sướng hơn hẳn.",positive
EVVN-01556,2023-03-03,MG,YouTube,Bức xúc khi dùng MG: phần mềm liên tục báo lỗi ảo và cảnh báo pin ảo khiến người lái hoang mang. Ngoài ra chất liệu nhựa nội thất chưa thật sự tinh xảo. Đang tính chuyện bán lỗ để quay về xe xăng cho đỡ đau đầu.,negative
EVVN-01557,2023-03-03,Kia,Dealer,"Cần phản ánh nghiêm túc về tình trạng, nhiều điểm trạm sạc ngoài trời không có mái che, trời mưa bão cắm sạc vừa ướt vừa bất an, chưa kể phần mềm liên tục báo lỗi ảo và cảnh báo pin ảo khiến người lái hoang mang. Trải nghiệm chưa xứng đáng với kỳ vọng và số tiền bỏ ra.",negative
EVVN-01558,2023-03-04,MG,Forum,"Cảm nhận về chiếc MG: xe lướt đi êm ru, người nhà ngồi sau trước đây hay say xe giờ đi thoải mái cả hành trình. MG4 EV dẫn động cầu sau lái phấn khích và linh hoạt trong cua. Rất đáng tiền trong phân khúc, hài lòng 9/10 điểm.",positive
EVVN-01559,2023-03-04,Kia,Facebook,"Chạy thử cả phố lẫn đường trường, vận hành êm ái tuyệt đối, không rung giật và chấm dứt hẳn mùi xăng khó chịu, hơn nữa tính bài toán vận hành lâu dài thì kinh tế hơn hẳn các dòng xe xăng cùng tầm giá. Rất đáng tiền trong phân khúc, hài lòng 9/10 điểm.",positive
